Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,HOU,Mario Williams\WillMa22,DE,21,2016,1,4,9,75,34,157,,,,,,,,,,,,317,,97.5,North Carolina St.,College Stats
1,2,NOR,Reggie Bush\BushRe00,RB,21,2016,0,0,6,60,33,132,0,1,0,0,1,1285,5498,36,477,3598,18,10,,,USC,College Stats
1,3,TEN,Vince Young\YounVi00,QB,23,2011,0,2,4,33,31,60,755,1304,8964,46,51,282,1459,12,,,,5,,,Texas,College Stats
1,4,NYJ,D'Brickashaw Ferguson\FergDB20,T,22,2015,0,3,10,56,56,160,,,,,,,,,,,,7,,,Virginia,
1,5,GNB,A.J. Hawk\HawkA.20,LB,22,2016,0,0,10,59,56,159,,,,,,,,,,,,644,9,20.0,Ohio St.,College Stats
1,6,SFO,Vernon Davis\DaviVe00,TE,22,2016,0,2,10,43,42,162,,,,,,6,15,0,502,6362,57,10,,,Maryland,College Stats
1,7,OAK,Michael Huff\HuffMi20,DB,23,2013,0,0,6,33,32,118,,,,,,,,,,,,368,11,5.5,Texas,College Stats
1,8,BUF,Donte Whitner\WhitDo20,DB,21,2016,0,3,9,49,18,156,,,,,,,,,,,,663,11,3.0,Ohio St.,College Stats
1,9,DET,Ernie Sims\SimsEr20,LB,21,2013,0,0,5,30,19,109,,,,,,,,,,,,419,1,5.5,Florida St.,College Stats
1,10,ARI,Matt Leinart\LeinMa00,QB,23,2012,0,0,1,12,12,33,366,641,4065,15,21,47,89,2,,,,,,,USC,College Stats
1,11,DEN,Jay Cutler\CutlJa00,QB,23,2016,0,1,9,83,27,139,2782,4491,32467,208,146,367,1650,9,,,,11,,,Vanderbilt,College Stats
1,12,BAL,Haloti Ngata\NgatHa20,DT,22,2016,2,5,11,97,95,160,,,,,,,,,,,,307,5,29.5,Oregon,College Stats
1,13,CLE,Kamerion Wimbley\WimbKa20,DE,22,2014,0,0,8,46,26,140,,,,,,,,,,,,322,2,53.5,Florida St.,College Stats
1,14,PHI,Brodrick Bunkley\BunkBr20,DT,22,2014,0,0,7,42,26,130,,,,,,,,,,,,170,,8.5,Florida St.,College Stats
1,15,STL,Tye Hill\HillTy20,DB,24,2010,0,0,0,9,7,40,,,,,,,,,,,,111,5,,Clemson,College Stats
1,16,MIA,Jason Allen\AlleJa23,DB,23,2012,0,0,1,13,9,98,,,,,,,,,,,,213,15,,Tennessee,College Stats
1,17,MIN,Chad Greenway\GreeCh99,LB,23,2016,0,2,9,62,62,154,,,,,,,,,,,,758,11,18.0,Iowa,College Stats
1,18,DAL,Bobby Carpenter\CarpBo20,LB,23,2012,0,0,0,10,5,93,,,,,,,,,,,,126,1,3.5,Ohio St.,College Stats
1,19,SDG,Antonio Cromartie\CromAn20,DB,22,2016,1,4,8,61,23,162,,,,,,1,1,0,1,-2,0,378,31,,Florida St.,College Stats
1,20,KAN,Tamba Hali\HaliTa20,DE,22,2016,0,5,10,76,76,170,,,,,,,,,,,,451,2,89.5,Penn St.,College Stats
1,21,NWE,Laurence Maroney\MaroLa00,RB,21,2010,0,0,0,26,25,49,,,,,,618,2504,21,44,459,1,2,,,Minnesota,College Stats
1,22,SFO,Manny Lawson\LawsMa20,DE,22,2015,0,0,7,47,22,143,,,,,,,,,,,,351,4,24.5,North Carolina St.,College Stats
